iter	Passed	Remaining
1315	108450	11784
1316	108553	11704
1317	108665	11625
1318	108759	11543
1319	108824	11459
1320	108890	11375
1321	108959	11291
1322	109030	11207
1323	109116	11125
1324	109195	11043
1325	109277	10960
1326	109373	10879
1327	109482	10799
1328	109578	10718
1329	109669	10637
1330	109750	10554
1331	109827	10471
1332	109882	10386
1333	109944	10302
1334	110016	10218
1335	110086	10135
1336	110154	10051
1337	110242	9969
1338	110325	9887
1339	110398	9804
1340	110472	9720
1341	110566	9639
1342	110670	9558
1343	110768	9477
1344	110847	9395
1345	110933	9313
1346	111011	9230
1347	111097	9148
1348	111183	9066
1349	111262	8983
1350	111346	8901
1351	111439	8819
1352	111529	8737
1353	111608	8655
1354	111690	8572
1355	111765	8489
1356	111849	8407
1357	111944	8325
1358	112033	8243
1359	112112	8161
1360	112208	8079
1361	112309	7998
1362	112411	7917
1363	112504	7835
1364	112584	7753
1365	112663	7670
1366	112731	7586
1367	112816	7504
1368	112896	7421
1369	112992	7340
1370	113075	7257
1371	113148	7174
1372	113226	7092
1373	113315	7010
1374	113394	6927
1375	113488	6845
1376	113599	6764
1377	113711	6684
1378	113800	6601
1379	113876	6518
1380	113957	6436
1381	114032	6353
1382	114100	6270
1383	114170	6187
1384	114251	6104
1385	114341	6022
1386	114430	5940
1387	114502	5857
1388	114595	5775
1389	114695	5693
1390	114777	5610
1391	114857	5528
1392	114936	5445
1393	115021	5363
1394	115107	5280
1395	115198	5198
1396	115288	5116
1397	115378	5034
1398	115468	4952
1399	115551	4869
1400	115654	4787
1401	115743	4705
1402	115835	4623
1403	115932	4541
1404	116016	4458
1405	116108	4376
1406	116192	4294
1407	116283	4211
1408	116362	4129
1409	116436	4046
1410	116514	3963
1411	116601	3881
1412	116681	3798
1413	116760	3715
1414	116841	3633
1415	116920	3550
1416	116999	3467
1417	117068	3384
1418	117143	3302
1419	117221	3219
1420	117298	3136
1421	117387	3054
1422	117458	2971
1423	117533	2888
1424	117615	2806
1425	117699	2723
1426	117787	2641
1427	117877	2558
1428	117971	2476
1429	118065	2394
1430	118153	2311
1431	118235	2229
1432	118320	2146
1433	118401	2064
1434	118483	1981
1435	118556	1898
1436	118624	1816
1437	118708	1733
1438	118782	1650
1439	118859	1568
1440	118939	1485
1441	119025	1403
1442	119109	1320
1443	119187	1238
1444	119266	1155
1445	119356	1073
1446	119458	990
1447	119539	908
1448	119607	825
1449	119676	742
1450	119751	660
1451	119828	577
1452	119912	495
1453	119996	412
1454	120091	330
1455	120183	247
1456	120277	165
1457	120358	82
1458	120421	0
